时间,加速度
9.55,-38.9
9.56,-16.3
9.57,13.5
9.58,32.2
9.59,29
9.6,28.6
9.61,30.3
9.62,33.8
9.63,24.4
9.64,7.6
9.65,-12.4
9.66,-37.5
9.67,-39.9
9.68,-24.4
9.69,-15.5
9.7,4
9.71,15.2
9.72,28.8
9.73,31.5
9.74,11
9.75,-9.4
9.76,-33.4
9.77,-57.3
9.78,-42.3
9.79,-14.3
9.8,0.7
9.81,13.4
9.82,26.9
9.83,34
9.84,35.5
9.85,39.6
9.86,39.9
9.87,48.8
9.88,47.7
9.89,40.6
9.9,40.6
9.91,35.1
9.92,18.6
9.93,5.7
9.94,-4.4
9.95,1.9
9.96,7.2
9.97,16.8
9.98,11.5
9.99,-12.5
10,0
